Key,english

perkInfiltratorRank1BWLongDesc,You can now pick up landmines(applies to all levels). Landmines trigger 1.5 seconds after stepping on them. Traps trigger 1 second after stepping on them. Take 30% less damage from landmines.
perkInfiltratorRank2BWLongDesc,Landmines trigger 3 seconds after stepping on them. Traps trigger 2 seconds after stepping on them. Take 60% less damage from landmines.
perkInfiltratorRank3BWLongDesc,You can no longer trigger landmines when stepping on them. Traps trigger 3 seconds after stepping on them. Take 90% less damage from landmines.
perkLivingOffTheLandRank1BWLongDesc, Harvest up to 3 times the amount of crops. Harvest up to 5 additional crop. Harvest 10% more seeds. 2% more chance of finding seeds and Southern farming magazines in loot. 30% less resources needed to craft farm plots.
perkLivingOffTheLandRank2BWLongDesc, Harvest up to 6 times the amount of crops. Harvest up to 10 additional crops. Harvest 15% more seeds. 6% more chance of finding seeds and Southern farming magazines in loot. 50% less resources needed to craft farm plots.
perkLivingOffTheLandRank3BWLongDesc, Harvest up to 9 times the amount of crops. Harvest up to 15 additional crops. Harvest 20% more seeds. 10% more chance of finding seeds and Southern farming magazines in loot.
perkTreasureHunterRank1BWLongDesc, For every 5 blocks dug up the treasure/supplies search radius is reduced by 1m. Without the perk you have to dig up 10 blocks each. Find 50% additional loot in buried treasures.
perkTreasureHunterRank2BWLongDesc, For every 3 blocks dug up the treasure/supplies search radius is reduced by 1m. Find 100% additional loot in buried treasures.
perkTreasureHunterRank3BWLongDesc, For every block dug up the treasure/supplies search radius is reduced by 1m. Find 200% additional loot in buried treasures.
perkMasterChefRank1BWLongDesc,Cook 40% faster. Use 30% less ingredients when cooking. 2% more chance of finding Home cooking Weekly magazines. Food and drinks are 20% more effective.
perkMasterChefRank2BWLongDesc,Cook 60% faster. Use 40% less ingredients when cooking. Find more food inside dumpsters or trash. 6% more chance of finding Home cooking Weekly magazines. Food and drinks are 60% more effective.
perkMasterChefRank3BWLongDesc,Cook 80% faster. Use 40% less ingredients when cooking. 10% more chance of finding Home cooking Weekly magazines. Food and drinks are 100% more effective.
perkPackMuleRank1BWLongDesc,Unlock 3 more inventory slots. 10% stamina regeneration. 5% run/walk speed. Pocket mods now provide 1 time the amount of their base slots. Base slots stack with the bonus ones.
perkPackMuleRank2BWLongDesc,Unlock 6 more inventory slots. 10% stamina regeneration. 9% run/walk speed. Pocket mods now provide 2 times the amount of their base slots. Base slots stack with the bonus ones.
perkPackMuleRank3BWLongDesc,Unlock 10 more inventory slots. 10% stamina regeneration. 12% run/walk speed. Pocket mods now provide 3 times the amount of their base slots. Base slots stack with the bonus ones.
perkPackMuleRank4BWLongDesc,Unlock 14 more inventory slots. 10% stamina regeneration. 16% run/walk speed. Pocket mods now provide 4 times the amount of their base slots. Base slots stack with the bonus ones.
perkPackMuleRank5BWLongDesc,Unlock 18 more inventory slots. 10% stamina regeneration. 20% Run/walk speed. Pocket mods now provide 5 times the amount of their base slots. Base slots stack with the bonus ones.
perkWellInsulatedRank1BWLongDesc,10 more temperature resistance. 10% negative buff resistance. 10% chance of removing a negative elemental buff. 2% more chance of finding The Fireman's Almanac perk books.
perkWellInsulatedRank2BWLongDesc,30 more temperature resistance. 20% negative buff resistance. 20% chance of removing a negative elemental buff. 6% more chance of finding The Fireman's Almanac perk books.
perkWellInsulatedRank3BWLongDesc,50 more temperature resistance. 30% negative buff resistance.  30% chance of removing a negative elemental buff. 10% more chance of finding The Fireman's Almanac perk books.
perkArcheryRank1BWLongDesc,Bows deal 10% more damage. Aim 10% faster. 10% Draw and reload speed with bows. 5 bonus projectile velocity for bows. 5 bonus projectile velocity for crossbows. 20% spread while ADS for bows. 10% spread while ADS for crossbows. 5% projectile stick chance. 2% more chance of finding Bow Hunters magazines/Ranger's Guide to Archery/bows/crossbows/parts/arrows in loot.
perkArcheryRank2BWLongDesc,Bows deal 20% more damage. Aim 20% faster. 20% Draw and reload speed with bows. 10 bonus projectile velocity for bows. 7.5 bonus projectile velocity for crossbows. 17% spread while ADS for bows. 8% spread while ADS for crossbows. 10% projectile stick chance. 4% more chance of finding Bow Hunters magazines./Ranger's Guide to Archery/bows/crossbows/parts/arrows in loot.
perkArcheryRank3BWLongDesc,Bows deal 30% more damage. Aim 30% faster. 30% Draw and reload speed with bows. 15 bonus projectile velocity for bows. 10 bonus projectile velocity for crossbows. 12% spread while ADS for bows. 6% spread while ADS for crossbows. 15% projectile stick chance. 6% more chance of finding Bow Hunters magazines./Ranger's Guide to Archery/bows/crossbows/parts/arrows in loot.
perkArcheryRank4BWLongDesc,Bows deal 40% more damage. Aim 40% faster. 40%Draw and reload speed with bows. 20 bonus projectile velocity for bows. 12.5 bonus projectile velocity for crossbows. 7% spread while ADS for bows. 4% spread while ADS for crossbows. 20% projectile stick chance. 8% more chance of finding Bow Hunters magazines/Ranger's Guide to Archery/bows/crossbows/parts/arrows in loot.
perkArcheryRank5BWLongDesc,Bows deal 50% more damage. Aim 50% faster. 50% Draw and reload speed with bows. 25 bonus projectile velocity for bows. 15 bonus projectile velocity for crossbows. 2% spread while ADS for bows. 2% spread while ADS for crossbows. 25% projectile stick chance. 10% more chance of finding Bow Hunters magazines/Ranger's Guide to Archery/bows/crossbows/parts/arrowsin loot.
perkSlowMetabolismRank1BWLongDesc,Reduce water loss and food loss from health regeneration and physical exertion by 5%. Hold your breath for 84 seconds. 3% less chance of catching disentery. 10% consumable buffs duration. 
perkSlowMetabolismRank2BWLongDesc,Reduce water loss and food loss from health regeneration and physical exertion by 10%. Hold your breath for 108 seconds. 6% less chance of catching disentery. 20% consumable buffs duration.
perkSlowMetabolismRank3BWLongDesc,Reduce water loss and food loss from health regeneration and physical exertion by 15%. Hold your breath for 132 seconds. 9% less chance of catching disentery. 30% consumable buffs duration.
perkSlowMetabolismRank4BWLongDesc,Reduce water loss and food loss from health regeneration and physical exertion by 20%. Hold your breath for 156 seconds. 12% less chance of catching disentery. 40% consumable buffs duration.
perkSlowMetabolismRank5BWLongDesc,Reduce water loss and food loss from health regeneration and physical exertion by 25%. Hold your breath for 180 seconds. 15% less chance of catching disentery. 50% consumable buffs duration.
perkRuleOneCardioNameRank1BWLongDesc,10% running stamina regeneration. 10% walk and run speed.
perkRuleOneCardioNameRank2BWLongDesc,20% running stamina regeneration. 20% walk and 15% run speed.
perkRuleOneCardioNameRank3BWLongDesc,30% running stamina regeneration. 30% walk speed and 20% run speed.
perkCharismaticNatureRank1BWLongDesc,All charismatic nature levels now apply to yourself as well. Allies and Party Members regenerate lost health 50% faster.
perkLockPickingRank1BWLongDesc, 40% faster lockpicking. 35% lower chance of breaking a lockpick. 30% more loot for when you find dukes/cash/gems. 2% more chance of finding forge ahead magazines and The Great Heist perk books in loot.
perkLockPickingRank2BWLongDesc, 47.5% faster lockpicking. 50% lower chance of breaking a lockpick. 60% more loot for when you find dukes/cash/gems. 6% more chance of finding forge ahead magazines and The Great Heist perk books in loot.
perkLockPickingRank3BWLongDesc, 55% faster lockpicking. 65% lower chance of breaking a lockpick. 90% more loot for when you find dukes/cash/gems. 10% more chance of finding forge ahead magazines and The Great Heist perk books in loot.
perkGreaseMonkeyRank1BWLongDesc,10% more effectiveness of repair kits when used on vehicles. 33% less resources needed to craft bicycles. You can now harvest steel from scrapping vehicles. Harvest 20% forged steel from vehicles. 2% more chance of finding vehicle adventures magazines in loot. 10% more chance chance of finding repair kits and vehicle mod schematics in loot.
perkGreaseMonkeyRank2BWLongDesc,20% more effectiveness of repair kits when used on vehicles. 33% less resources needed to craft minibikes. Harvest 40% forged steel from vehicles. 4% more chance of finding vehicle adventures magazines in loot. 15% more chance chance of finding repair kits and vehicle mod schematics in loot.
perkGreaseMonkeyRank3BWLongDesc,30% more effectiveness of repair kits when used on vehicles. 33% less resources needed to craft motorcycles. Harvest 60% forged steel from vehicles. 6% more chance of finding vehicle adventures magazines in loot. 20% more chance chance of finding repair kits and vehicle mod schematics in loot.
perkGreaseMonkeyRank4BWLongDesc,40% more effectiveness of repair kits when used on vehicles. 33% less resources needed to craft 4x4 trucks. Harvest 80% forged steel from vehicles. 8% more chance of finding vehicle adventures magazines in loot. 25% more chance chance of finding repair kits and vehicle mod schematics in loot.
perkGreaseMonkeyRank5BWLongDesc,50% more effectiveness of repair kits when used on vehicles. 33% less resources needed to craft Gyrocopters. Harvest 100% forged steel from vehicles. 10% more chance of finding vehicle adventures magazines in loot. 30% more chance chance of finding repair kits and vehicle mod schematics in loot.
perkTheHuntsmanRank1BWLongDesc,Harvest 20% more resources from skinning animals zombie animals. Deal 10% more damage to animals and zombie animals. 2% more chance of finding Hunter's journal perk books in loot.
perkTheHuntsmanRank2BWLongDesc,Harvest 40% more resources from skinning animals zombie animals. Deal 20% more damage to animals and zombie animals. 4% more chance of finding Hunter's journal perk books in loot.
perkTheHuntsmanRank3BWLongDesc,Harvest 60% more resources from skinning animals zombie animals. Deal 30% more damage to animals and zombie animals. 6% more chance of finding Hunter's journal perk books in loot.
perkTheHuntsmanRank4BWLongDesc,Harvest 80% more resources from skinning animals and zombie animals. Deal 40% more damage to animals and zombie animals. 8% more chance of finding Hunter's journal perk books in loot.
perkTheHuntsmanRank5BWLongDesc,Harvest 100% more resources from skinning animals. Deal 50% more damage to animals and zombie animals. 10% more chance of finding Hunter's journal perk books in loot.
perkHiddenStrikeRank1BWLongDesc,Sneak attacks deal an extra 50% damage. Increase the range of your knives by 5%. Ignore 5% of enemy armor. Gain 5% more XP for getting kills at night. 2% more chance of finding Urban Warfare perk books in loot.
perkHiddenStrikeRank2BWLongDesc,Sneak attacks deal an extra 100% damage. Increase the range of your knives by 10%. Ignore 10% of enemy armor. Gain 10% more XP for getting kills at night. 4% more chance of finding Urban Warfare perk books in loot.
perkHiddenStrikeRank3BWLongDesc,Sneak attacks deal an extra 150% damage. Increase the range of your knives by 15%. Ignore 15% of enemy armor. Gain 15% more XP for getting kills at night. 6% more chance of finding Urban Warfare perk books in loot.
perkHiddenStrikeRank4BWLongDesc,Sneak attacks deal an extra 200% damage. Increase the range of your knives by 20%. Ignore 20% of enemy armor. Gain 20% more XP for getting kills at night. 8% more chance of finding Urban Warfare perk books in loot.
perkHiddenStrikeRank5BWLongDesc,Sneak attacks deal an extra 250% damage. Increase the range of your knives by 25%. Ignore 25% of enemy armor. Gain 25% more XP for getting kills at night. 10% more chance of finding Urban Warfare perk books in loot.
perkFromTheShadowsRank1BWLongDesc,13% more stealthy when hiding in the darkness/shadows. Make 10% less noise. 10% faster crouch speed. Enemies will search for you for up to 50 seconds. Lose 5% less stamina when you jump or run with a knife equipped. 2% more chance of finding Night Stalker perk books in loot.
perkFromTheShadowsRank2BWLongDesc,26% more stealthy when hiding in the darkness/shadows. Make 20% less noise. 20% faster crouch speed. Enemies will search for you for up to 40 seconds. Lose 10% less stamina when you jump or run with a knife equipped. 4% more chance of finding Night Stalker perk books in loot.
perkFromTheShadowsRank3BWLongDesc,39% more stealthy when hiding in the darkness/shadows. Make 30% less noise. 30% faster crouch speed. Enemies will search for you for up to 30 seconds. Lose 15% less stamina when you jump or run with a knife equipped. 6% more chance of finding Night Stalker perk books in loot.
perkFromTheShadowsRank4BWLongDesc,52% more stealthy when hiding in the darkness/shadows. Make 40% less noise. 40% faster crouch speed. Enemies will search for you for up to 25 seconds. Running on trash piles won't make any noise. Lose 20% less stamina when you jump or run with a knife equipped. 8% more chance of finding Night Stalker perk books in loot.
perkFromTheShadowsRank5BWLongDesc,65% more stealthy when hiding in the darkness/shadows. Make 50% less noise. 50% faster crouch speed. Enemies will search for you for up to 20 seconds. Running on trash piles won't make any noise. Lose 25% less stamina when you jump or run with a knife equipped. 10% more chance of finding Night Stalker perk books in loot.
perkSkullCrusherRank1BWLongDesc,Sledgehammers deal 10% more damage. Power attacks have a 15% chance to knock down enemies. Stamina costs are reduced by 15% for normal attacks and 15% for power attacks. Killing blows grant 10 stamina. 2% more chance of finding Sledgehammers/parts/Get Hammered magazines in loot. Deal 100% more damage to doors and safes. Gain 5% attack speed with sledgehammers.
perkSkullCrusherRank2BWLongDesc,Sledgehammers deal 20% more damage. Power attacks have a 30% chance to knock down enemies. Stamina costs are reduced by 20% for normal attacks and 30% for power attacks. Killing blows grant 20 stamina. 4% more chance of finding Sledgehammers/parts/Get Hammered magazines in loot. Deal 130% more damage to doors and safes. Gain 6% attack speed with sledgehammers.
perkSkullCrusherRank3BWLongDesc,Sledgehammers deal 30% more damage. Power attacks have a 45% chance to knock down enemies and a 20% chance to knock down nearby foes. Stamina costs are reduced by 25% for normal attacks and 40% for power attacks. Killing blows grant 30 stamina. 6% more chance of finding Sledgehammers/parts/Get Hammered magazines in loot. Deal 160% more damage to doors and safes. Gain 8% attack speed with sledgehammers.
perkSkullCrusherRank4BWLongDesc,Sledgehammers deal 40% more damage. Power attacks have a 60% chance to knock down enemies and a 35% chance to knock down nearby foes. Stamina costs are reduced by 30% for normal attacks and 50% for power attacks. Killing blows grant 40 stamina. 8% more chance of finding Sledgehammers/parts/Get Hammered magazines in loot. Deal 190% more damage to doors and safes. Gain 9% attack speed with sledgehammers.
perkSkullCrusherRank5BWLongDesc,Sledgehammers deal 50% more damage. Power attacks have a 75% chance to knock down enemies and a 50% chance to knock down nearby foes. Stamina costs are reduced by 35% for normal attacks and 60% for power attacks. Killing blows grant 50 stamina. 10% more chance of finding Sledgehammers/parts/Get Hammered magazines in loot. Deal 200% more damage to doors and safes. Gain 10% attack speed with sledgehammers.
