Key,english

modGunBarrelExtenderBWDesc,Reduces damage falloff on range and increases maximum range by 20% but worsens hipfire accuracy and recoil control by 10%. Worsens spread recovery speed by 8%. Positive buffs are twice as effective when equipped on sniper rifles. Deal 100% more damage to targets that are more than 50 meters far away from you.
modGunMuzzleBrakeBWDesc,Grants a 25% recoil controlbonus and improves accuracy by 15% when aiming.
modGunSoundSuppressorSilencerBWDesc,Greatly reduces the sound value produced by your firearm for NPC enemies as well as removing the muzzleflash light. Grants a 200% sneak bonus to unalerted targets.
modGunLaserSightBWDesc,Increases hipfire accuracy and spread recovery by 30% and increases accuracy when walking by 25%.
modGunScopeSmallBWDesc,2x scope for close to medium range kills. Grants a 20% bonus damage with headshots.
modGunScopeMediumBWDesc,4x scope for medium to long range kills. Grants a 40% bonus damage with headshots. Has variable zoom.
modGunScopeLargeBWDesc,8x scope for long range kills. Grants a 60% bonus damage with headshots. Has variable zoom.
modGunReflexSightBWDesc,A reflex sight ideal for close range engages. Grants a 15% lesser spread when aiming and a 30% faster spread recovery.
modGunTriggerGroupSemiBWDesc,Grants semi automatinc firing mode and increases rate of fire by 30%. Grants a 5% spread per shot reduction.
modGunTriggerGroupBurst3BWDesc,Grants 3 burst firing mode and increases rate of fire by 125% at the cost of an increased spread per shot of 15%.
modGunTriggerGroupAutomaticBWDesc,Grants full auto firing mode as well as a 20% rate of fire bonus at the cost of an increased 5% spread per shot. 
modGunBipodBWDesc,Grants 15% recoil control as well as 20% less spread when aiming. 25% for sniper rifles. Also grants 20% spread recovery. 35% for sniper rifles. Worsens hipfire accuracy and walking accuracy by 5%.
modGunRetractingStockBWDesc,Grants 15% recoil control as well as 25% increased accuracy when walking and hipfiring. Increase spread recovery by 30%.
modShotgunSawedOffBarrelBWDesc,Grants a much larger spread and increases damage by 50%. Deal 100% increased damage to close targets up to 5 meters.
modGunDuckbillBWDesc,Grants a more horizontal like spread and increases damage by 25%.
modGunChokeBWDesc,Grants a much tighter spread and increases max range by 50% as well as reducing damage fall off on range by 15%.
modGunMagazineExtenderBWDesc,Grants 50% extra magazine size and increases rate of fire by 7.5%. Reload 25% faster.
modGunDrumMagazineExtenderBWDesc,Grants 100% extra magazine size and increases rate of fire by 15% at the cost of reloading 15% slower. 
modGunForegripBWDesc,Improves handling and accuracy when hipfiring or while moving. Grants 20% faster rate of fire to pump action shotguns.
modGunShotgunTubeExtenderMagazineBWDesc,Increases magazine capacity for pump shotguns by 4 shells.
modGunCrippleEmBWDesc,Each hit has a 40% chance of slowing down an enemy. Also applies to animals.
modGunBowPolymerStringBWDesc,Makes your arrow/dart fly 15% faster. Bows and Crossbows require 10% less stamina when aiming in.
modGunBowArrowRestBWDesc,Bows and crossbows require 10% less stamina when aiming in. grants 30% accuracy when ADS and 20% hipfire accuracy.
