Key,english

zombiePrisonerVariantHelper,Steve the Zombie
targetPosterVariantHelper,Shooting range Target Posters
decoMannequinVariantHelper,Decorative Mannequin Variants
signExitLightVariantHelper,Exit Sign Variants
popNpillsLightsignSonjaVariantHelper,Pop-N-Pills Light Variants
popNpillsLightsignBigSonja,Pop-N-Pills Light Big
popNpillsLightsignSmallSonja,Pop-N-Pills Light Small
xrayLightVariantHelper,X-Ray Light Variants
xrayLightFullSonja,X-Ray Light with images
xrayLightEmptySonja,X-Ray Light empty
wheelchairVariantHelper,Wheelchair Variants
lightPanelLEDSonjaVariantHelper,LED Light panel Variants
tableLampSonjaVariantHelper,Table Lamp Light Variants
endtableLampSonja,Powerable End Table Lamp Light
candiePosterSonjaVariantHelper,Candie & Food Posters Variants
electricStoveSonja,Cozy Electric Stove
streetLightElegantClassicSonja,Elegant Classic Street Light
screenCurtainDividerVariantHelper,Screen Curtain Variants
sectionalLeatherChair,Sectional Leather Chair
sectionalPlaidChair,Sectional Plaid Chair
parkBenchSonjaVariantHelper,Classic Bench Variants
secretStorageSonjaVariantHelper,Secret Storage behind a Picture!
secretStorageSonjaVariantHelperDesc,"It looks like a common picture but...wait, what is this!? A Secret Storage!\nKeep thieves away from your goodies with this all-in-one lockable secure storage behind your favorite picture.\n\nPut it in your toolbar and hold R to choose the Variant you want."
secretStorageIronSonja_01t,Secret Storage behind a Picture!
secretStorageIronSonja_01a,Secret Storage behind a Picture!
secretStorageIronSonja_01b,Secret Storage behind a Picture!
secretStorageIronSonja_01c,Secret Storage behind a Picture!
secretStorageIronSonja_01d,Secret Storage behind a Picture!
secretStorageIronSonja_01e,Secret Storage behind a Picture!
secretStorageIronSonja_01f,Secret Storage behind a Picture!
secretStorageIronSonja_01g,Secret Storage behind a Picture!
secretStorageIronSonja_01h,Secret Storage behind a Picture!
secretStorageIronSonja_01i,Secret Storage behind a Picture!
secretStorageIronSonja_01j,Secret Storage behind a Picture!
secretStorageIronSonja_01k,Secret Storage behind a Picture!
secretStorageIronSonja_01l,Secret Storage behind a Picture!
secretStorageIronSonja_01m,Secret Storage behind a Picture!
secretStorageIronSonja_01n,Secret Storage behind a Picture!
secretStorageIronSonja_01o,Secret Storage behind a Picture!
secretStorageIronSonja_01p,Secret Storage behind a Picture!
secretStorageIronSonja_01q,Secret Storage behind a Picture!
secretStorageIronSonja_01r,Secret Storage behind a Picture!
secretStorageIronSonja_01s,Secret Storage behind a Picture!
secretStorageIronSonja_01u,Secret Storage behind a Picture!
secretStorageIronSonja_01v,Secret Storage behind a Picture!
secretStorageIronSonja_01w,Secret Storage behind a Picture!
secretStorageIronSonja_Carrier,Secret Storage behind a Picture!
secretStorageIronSonja_Tank,Secret Storage behind a Picture!
secretStorageIronSonja_Guns,Secret Storage behind a Picture!
secretStorageIronSonja_JetGirls,Secret Storage behind a Picture!
secretStorageIronSonja_Canvas01a,Secret Storage behind a Picture!
secretStorageIronSonja_Canvas01b,Secret Storage behind a Picture!
secretStorageIronSonja_Canvas01c,Secret Storage behind a Picture!
secretStorageIronSonja_Canvas01d,Secret Storage behind a Picture!
secretStorageIronSonja_Canvas01e,Secret Storage behind a Picture!
secretStorageIronSonja_Canvas01f,Secret Storage behind a Picture!
secretStorageIronSonja_Canvas01g,Secret Storage behind a Picture!
secretStorageIronSonja_Canvas01h,Secret Storage behind a Picture!
secretStorageIronSonja_Canvas01i,Secret Storage behind a Picture!
secretStorageIronSonja_Canvas01j,Secret Storage behind a Picture!
secretStorageIronSonja_MovieLongWolf,Secret Storage behind a Picture!
secretStorageIronSonja_Movie2159,Secret Storage behind a Picture!
secretStorageIronSonja_MammasJustice,Secret Storage behind a Picture!
secretStorageIronSonja_MovieSexualTension,Secret Storage behind a Picture!
bicycleDecoSonjaVariantHelper,Decorative Bicycle Variants
bicycleDecoSonjaVariantHelperDesc,"Decorative Bicycle Variants.\n\nHang it on a wall or wherever you want"
bicycleDecoSonja,Decorative Bicycle
bicycleDecoRedSonja,Decorative Bicycle
bicycleDecoOrangeSonja,Decorative Bicycle
bicycleDecoYellowSonja,Decorative Bicycle
bicycleDecoGreenSonja,Decorative Bicycle
bicycleDecoBlueSonja,Decorative Bicycle
bicycleDecoPurpleSonja,Decorative Bicycle
bicycleDecoBlackSonja,Decorative Bicycle
bicycleDecoPinkSonja,Decorative Bicycle
motorcycleDecoSonjaVariantHelper,Decorative Motorcycle Variants
motorcycleDecoSonjaVariantHelperDesc,"Decorative Motorcycle Variants.\n\nYou cannot ride it but it looks awesome, doesn't it?"
motorcycleDecoSonja,Decorative Motorcycle
motorcycleDecoRedSonja,Decorative Motorcycle
motorcycleDecoOrangeSonja,Decorative Motorcycle
motorcycleDecoYellowSonja,Decorative Motorcycle
motorcycleDecoGreenSonja,Decorative Motorcycle
motorcycleDecoBlueSonja,Decorative Motorcycle
motorcycleDecoPurpleSonja,Decorative Motorcycle
motorcycleDecoBlackSonja,Decorative Motorcycle
motorcycleDecoPinkSonja,Decorative Motorcycle
4x4DecoSonjaVariantHelper,Decorative 4x4 Variants
4x4DecoSonjaVariantHelperDesc,"Decorative 4x4 Variants.\n\nYou cannot drive it but it looks awesome, doesn't it?"
4x4DecoSonja,Decorative 4x4
4x4DecoRedSonja,Decorative 4x4
4x4DecoOrangeSonja,Decorative 4x4
4x4DecoYellowSonja,Decorative 4x4
4x4DecoGreenSonja,Decorative 4x4
4x4DecoBlueSonja,Decorative 4x4
4x4DecoPurpleSonja,Decorative 4x4
4x4DecoBlackSonja,Decorative 4x4
4x4DecoPinkSonja,Decorative 4x4
gyrocopterDecoSonjaVariantHelper,Decorative Gyrocopter Variants
gyrocopterDecoSonjaVariantHelperDesc,"Decorative Gyrocopter Variants.\n\nIt does not fly, so no risk to jump off and break a leg or crash it."
gyrocopterDecoSonja,Decorative Gyrocopter
gyrocopterDecoRedSonja,Decorative Gyrocopter
gyrocopterDecoOrangeSonja,Decorative Gyrocopter
gyrocopterDecoYellowSonja,Decorative Gyrocopter
gyrocopterDecoGreenSonja,Decorative Gyrocopter
gyrocopterDecoBlueSonja,Decorative Gyrocopter
gyrocopterDecoPurpleSonja,Decorative Gyrocopter
gyrocopterDecoBlackSonja,Decorative Gyrocopter
gyrocopterDecoPinkSonja,Decorative Gyrocopter
gasPumpStorageSonja,Gas Pump Secure Storage
gasPumpStorageSonjaDesc,Secure storage for all your fuel or anything else you want.\n\nIf you destroy the storage you will get it back.
propaneTankStorageSonjaVariantHelper,Propane Tank Secure Storage Variants
officeShelvSecureStorageSonjaVariantHelper,Office Shelf Secure Storage Variants
secureDecoStorageSonjaDesc,Secure and Decorative Storage in several colors and variants.\n\nIf you destroy the storage you will get it back.
officeShelvFullSecureStorageSonja,Office Shelf Secure Storage
officeShelvFullSecureStorageBrownSonja,Office Shelf Secure Storage
officeShelvFullSecureStorageRedSonja,Office Shelf Secure Storage
officeShelvFullSecureStorageOrangeSonja,Office Shelf Secure Storage
officeShelvFullSecureStorageYellowSonja,Office Shelf Secure Storage
officeShelvFullSecureStorageGreenSonja,Office Shelf Secure Storage
officeShelvFullSecureStorageBlueSonja,Office Shelf Secure Storage
officeShelvFullSecureStoragePurpleSonja,Office Shelf Secure Storage
officeShelvFullSecureStorageGreySonja,Office Shelf Secure Storage
officeShelvFullSecureStoragePinkSonja,Office Shelf Secure Storage
officeShelvEmptySecureStorageSonja,Office Shelf Secure Storage
