Key,English
PP_carpet_01,"Carpet White"
PP_carpet_02,"Carpet Black"
PP_carpet_03,"Blue Crapet"
PP_carpet_04,"Cyan Crapet"
PP_carpet_05,"Red Carpet"
PP_carpet_06,"Brown Carpet"
PP_plaster_01,"Plain Plaster"
PP_plaster_02,"Rough Plaster"
PP_paintedPlaster_01,"Painted Plaster White"
PP_paintedPlaster_02,"Painted Plaster Heaven"
PP_paintedPlaster_03,"Painted Plaster Tan"
PP_paintedPlaster_04,"Painted Plaster Carmesin"
PP_paintedPlaster_05,"Painted Plaster Lime"
PP_paintedPlaster_06,"Painted Plaster Yellow"
PP_paintedPlaster_07,"Painted Plaster Lavender"
PP_paintedPlaster_08,"Painted Plaster Cyan"
PP_tiles_01,"Tiles Classic"
PP_tiles_02,"Tiles Country Kitchen"
PP_tiles_03,"Tiles Pool Cyan"
PP_tiles_04,"Tiles Terracotta"
PP_tiles_05,"Tiles Travertine"
PP_tiles_06,"Tiles Lab White"
PP_tiles_07,"Tiles White"
PP_tiles_08,"Tiles Forrest Green"
PP_tiles_09,"Tiles Blue Marble"
PP_tiles_10,"Tiles Black Wave"
PP_tiles_11,"Tiles Emperor Marble"
PP_tiles_12,"Tiles Nero Marble"
PP_tiles_13,"Tiles Blood Marble"
PP_tiles_14,"Tiles Slate"
PP_tiles_15,"Tiles Corinth Marble"
PP_tiles_16,"Tiles Candy Marble"
PP_tiles_17,"Tiles Caramel Marble"
PP_wallpaper_01,"Woodchip Wallpaper"
PP_wallpaper_02,"Woodchip Wallpaper Light Green"
PP_wallpaper_03,"Woodchip Wallpaper Light Brown"
PP_wallpaper_04,"Woodchip Wallpaper Light Blue"
PP_wallpaper_05,"Woodchip Wallpaper Light Red"
PP_wallpaper_06,"Woodchip Wallpaper Green"
PP_wallpaper_07,"Woodchip Wallpaper Brown"
PP_wallpaper_08,"Woodchip Wallpaper Blue"
PP_wallpaper_09,"Woodchip Wallpaper Red"
PP_wallpaper_10,"Relief Wallpaper 1"
PP_wallpaper_11,"Relief Wallpaper 2"
PP_wallpaper_12,"Relief Wallpaper 3"
PP_wallpaper_13,"Relief Wallpaper 4"
PP_wallpaper_14,"Relief Wallpaper 5"
PP_wallpaper_17,"Relief Wallpaper 6"
PP_WoodFloor_01,"Parquet Dark"
PP_WoodFloor_02,"Parquet Medium Dark"
PP_WoodFloor_03,"Parquet Medium Light"
PP_WoodFloor_04,"Parquet Light"
PP_WoodFloor_05,"Simple Wood Planks"
PP_WoodFloor_06,"Wood Panels"
PP_FineWood_01,"Fine Wood Medium"
PP_FineWood_02,"Fine Wood Dark"
PP_FineWood_03,"Fine Wood Light"
PP_FineWood_04,"Fine Wood Rusic"
PP_stone_01,"White Marble"
PP_WoodWall_01,"Wood Wall Planks"
PP_WoodWall_02,"Wood Wall Trunk"
PP_WoodWall_03,"Wood Wall"
PP_WoodWall_04,"Wood Wall Blue"
PP_WoodWall_05,"Wood Wall Red"
PP_WoodWall_06,"Wood Wall White"
PP_WoodWall_07,"Wood Wall Yellow"
PP_StoneFloor_01,"Shattered Stone Floor"
PP_StoneFloor_02,"Large Stone Slabs"
PP_StoneFloor_03,"Medieval Wall"
PP_StoneWall_01,"Concrete Slab Wall"
PP_StoneWall_03,"Sandstone Wall"
PP_Wainscotting,"Wainscoting 1"
PP_Wainscotting_02,"Wainscoting 2"
PP_Wainscotting_03,"Wainscoting 3"
PP_Wainscotting_03b,"Wainscoting 3b"
PP_Wainscotting_04,"Wainscoting 4"
PP_Wainscotting_05,"Wainscoting 1b"
