Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
cntCollapsedDewCollector,blocks,block,,,Destroyed Rain Collector,,Zerstörter Regensammler,Colector de lluvia destruido,Collecteur de pluie détruit,Collettore di pioggia distrutto,壊れたレインコレクター,파괴된 비 수집기,Zniszczony zbieracz rosy,Coletor de chuva destruído,Разрушенный Сборщик дождя,Parçalanmış Yağmur Kollektörü,毁坏的雨水收集器,壞掉的雨水收集器
cntDewCollector,blocks,block,,,Rain Collector,,Regensammler,Colector de lluvia,Collecteur de pluie,Collettore di pioggia,レインコレクター,비 수집기,Zbieracz deszczu,Coletor de chuva,Сборщик дождя,Yağmur Kollektörü,雨水收集器,雨水收集器
dewCollectorDesc,blocks,block,,,Collects rainwater over time. Unfiltered water should be boiled in a cooking pot before use.\n\nRepair with Scrap Polymers.,,Sammelt mit der Zeit Regenwasser.\n\nKann mit Kunststoffabfall repariert werden.,Recoge el agua de lluvia con el tiempo.\n\nSe repara con polímeros de chatarra.,Récupère l'eau de pluie au fil du temps.\n\nSe répare avec des polymères recyclés.,Raccoglie l'acqua piovana nel tempo.\n\nSi ripara con i polimeri.,時間をかけて雨水を溜めます。ろ過されていない水は調理鍋がセットしてあるキャンプファイヤーで煮沸消毒する必要があります。\n\nスクラップポリマーで修理可能。,시간이 지남에 따라 빗물을 수집합니다.\n\n중합체 조각으로 수리합니다.,"Z czasem zbiera wodę deszczową.\n\nNaprawisz przy użyciu resztek polimerów.",Coleta a água da chuva ao longo do tempo.\n\nRepare com polímeros de sucata.,Собирает дождевую воду с течением времени.\n\nРемонтируется с помощью полимерных отходов.,Zamanla yağmur suyunu toplar.\n\nHurda Polimerler ile onar.,随着时间的推移收集雨水。\n\n可用废聚合物修理。,隨著時間的推移收集雨水。\n\n用聚合體碎片修理。
challengeCraftDewCollector,Challenges,Challenge,,,Craft Rain Collector,,Fertige einen Regensammler,Fabrica un Colector de lluvia,Fabriquer un Collecteur de pluie,Crea un Collettore di pioggia,レインコレクターをクラフトする,비 수집기 제작,Wytwórz Zbieracz deszczu,Fabricar um Coletor de chuva,Изготовить Сборщик дождя,Yağmur Kollektörü Üret,制作雨水收集器,製作雨水收集器
challengeCraftDewCollectorDesc,Challenges,Challenge,,,"Water determines how fast your health and stamina bars recover. With empty hands, you can drink from any water source by pressing ""E"". Drinking water that has not been boiled has the risk of contracting dysentery. At a campfire, you can boil jars of water with a cooking pot. Your water level can be found in the character stats menu. An advanced method of collecting water is by crafting a Rain Collector. Water will affect regen speed when it is below 50% and 25%. All drink items will provide a small bonus to stamina regen while the 'drink' buff is visible.",,"Wasser bestimmt, wie schnell deine Gesundheits- und Ausdauerbalken wiederhergestellt werden. Mit leeren Händen kannst du aus jeder Wasserquelle trinken, indem du „E“ drückst. Bei nicht abgekochtem Trinkwasser besteht die Gefahr, an Ruhr zu erkranken. An einem Lagerfeuer kannst du mit einem Kochtopf Wasser abkochen. Deine Hydrierung findest du bei den Werten im Charakter-Menü. Eine fortschrittliche Methode zum Sammeln von Wasser ist die Fertigung eines Regensammlers. Die Wiederherstellungsrate wird durch Wasser beeinflusst, wenn sie unter 50 % oder 25 % liegt. Alle trinkbaren Gegenstände gewähren deiner Ausdauerwiederherstellung einen kleinen Bonus, während der „Trinken“-Buff sichtbar ist.","El agua determina lo rápido que se recuperan tus barras de salud y de resistencia. Con las manos vacías, puedes beber de cualquier fuente de agua al pulsar la tecla “E”. Al beber agua no purificada, corres el riesgo de contraer disentería. Puedes hervir tarros de agua con una olla en la fogata. El nivel de agua se encuentra en el menú de estadísticas del personaje. Un método avanzado para recolectar agua es fabricar un Colector de lluvia. El agua afectará la velocidad de regeneración cuando sea inferior al 50 % y al 25 %.Todas las bebidas proporcionan un pequeño bono a la regeneración de resistencia mientras el potenciador “Beber” esté visible.","L'eau détermine à quelle vitesse vos barres de santé et d'endurance se remplissent. Si vous avez les mains vides, vous pouvez boire depuis une source d'eau en appuyant sur ""E"". En buvant de l'eau qui n'a pas été bouillie, vous risquez de contracter la dysenterie. Vous pouvez bouillir des bocaux d'eau dans une marmite au feu de camp. Vous pouvez voir votre niveau d'eau dans le menu des stats du personnage. Construire un Collecteur de pluie est une manière avancée de récolter de l'eau. L'eau affectera la vitesse de régénération lorsqu'elle descendra en dessous de 50 % et 25 %. Tous les objets de type boissons offrent un petit bonus de régénération d'endurance tant que le bonus ""boisson"" est visible.","L'acqua determina la velocità di recupero delle barre di salute e vigore. Con le mani libere, puoi bere acqua da qualsiasi fonte premendo ""E"". Bevendo acqua non bollita si corre il rischio di contrarre la dissenteria. Puoi far bollire barattoli pieni d'acqua presso un falò con una pentola. Il livello dell'acqua si trova nel menu delle statistiche del tuo personaggio. Un metodo avanzato per raccogliere acqua è creare un Collettore di pioggia. L'acqua influirà sulla velocità di rigenerazione quando è inferiore al 50% e 25%. Le bevande forniranno un piccolo bonus alla rigenerazione del vigore per tutto il tempo in cui il buff ""Bibita"" è visibile.",現在の水分値により、体力やスタミナの回復速度が変化します。\n\n手に何も持っていない状態で水源に近付き、「調べる」キー（デフォルトだと「E」）を押すと水を飲むことができます。\n\n煮沸消毒していない水を飲んでしまうと赤痢にかかる可能性があります。\n\n調理鍋がセットしてあるキャンプファイヤーを使用し、汚水を水にする事が可能です。\n\nプレイヤーの現在の水分値はキャラクターステータスメニューで確認する事が可能です。\n\nレインコレクターをクラフトすると水を上手く集めることができます。\n\n水分値が 75%、50%、そして25%以下になると、スタミナ自然回復に影響が出ます。\n\n現在の最大水分値より50まで余分に飲む事が可能です。\n\n飲み物を飲むと、バフが付いている間、スタミナの自然回復量が上がります。,"물은 체력과 스태미너의 회복 속도를 결정합니다. 빈 물병을 들고 있으면 ""E""를 눌러 물을 마실 수 있습니다. 끓이지 않은 물을 마시면 이질에 걸릴 수 있습니다. 캠프파이어에서 요리용 냄비로 물을 끓일 수 있습니다. 수분 상태는 캐릭터 능력치 메뉴에서 확인할 수 있습니다. 물을 모으는 고급 방법으로는 비 수집기 제작이 있습니다. 물이 50%, 25% 이하로 떨어질 경우 회복 속도에 영향을 줍니다. 모든 음료 아이템은 '음료' 버프가 표시된 동안 스태미너 회복 속도에 작은 보너스를 제공합니다.","Poziom wody wyznacza szybkość regeneracji zdrowia i wytrzymałości. Mając puste ręce, możesz pić z dowolnego źródła wody, naciskając klawisz „E”. Pijąc nieprzegotowaną wodę, ryzykujesz złapaniem dyzenterii. Możesz zagotować wodę w słoiku przy ognisku, używając garnka. Poziom wody znajdziesz w menu statystyk postaci. Wodę można również zbierać przy pomocy zaawansowanego narzędzia: kolektora rosy. Woda wpływa negatywnie na szybkość regeneracji, gdy poziom wody spadnie poniżej 50% i 25%. Wszystkie napoje zapewniają niewielką premię do regeneracji wytrzymałości, póki widoczna jest premia napoju.","A água determina a velocidade com a qual suas barras, de vida e de vigor, se recuperam. Com as mãos vazias, você pode beber de qualquer fonte de água apertando “E”. Beber água não fervida oferece o risco de se contrair disenteria. Numa fogueira, você pode ferver água com uma panela. Seu nível de água fica no menu de estatísticas. Um método avançado de coletar água é fabricar um Coletor de chuva. A água afetará a velocidade de regeneração, se estiver abaixo de 50% e 25%.Todos os itens bebíveis darão um pequeno bônus na regeneração de vigor, enquanto o bônus de “bebida” estiver visível.","От воды зависит скорость восстановления уровней здоровья и выносливости. С пустыми руками можно выпить воды у любого источника, нажав «E». Выпивая сырую воду, вы рискуете заболеть дизентерией. Вскипятить воду можно в кастрюле на костре. Уровень воды можно узнать в меню статистики персонажа. Более сложный метод сбора воды — изготовить Сборщик дождя. Вода влияет на скорость восстановления, если ее уровень ниже 50% или 25%.Все предметы для питья дают небольшой бонус к восстановлению выносливости (пока отображается положительный эффект питья).","Sağlık ve dayanıklılık çubuklarının ne kadar hızlı yenileneceğini Su belirler. Ellerin boşken ""E"" tuşuna basarak herhangi bir su kaynağından su içebilirsin. Kaynatılmamış su içmenin dizanteriye neden olma tehlikesi vardır. Su dolu kavanozları kamp ateşinde bir tencerenin içinde kaynatabilirsin. Su seviyeni karakter istatistikleri menüsünde görebilirsin. Su toplamanın gelişmiş bir yöntemi de bir Yağmur Kollektörü üretmektir. Su, %50 ve %25'in altındayken yenileme hızını etkiler. Tüm içecek öğeleri, ""içecek"" güçlendirmesi görünür hâldeyken dayanıklılığın yenilenmesine sınırlı süreliğine küçük bir bonus sağlar.",水分决定你的生命条和体力条的恢复速度。空手时，你可以使用“E”键饮用任意来源的水。喝未煮沸的水会有染上痢疾的风险。你可以在篝火处使用烹饪锅将水煮沸。你的水分水平可以在角色状态菜单中查看。更高端的集水方法是制作雨水收集器。当水分低于 50% 和 25% 时，你的恢复速度将受到不同程度的影响。当显示“喝水”增益效果时，所有饮品都会提供小幅度的体力恢复加成。,水決定了生命和耐力的恢復速度。手上沒有物品時，可以按「E」從任何水源喝水。飲用未煮開的水有可能會感染痢疾。你可以將烹飪鍋架在營火上煮開罐子裡的水。目前的體水分可以在角色統計選單中查看。製作雨水收集器是一種進階的集水方法。當體水分低於 50% 和 25% 時將影響你的恢復速度。當飲水增益效果出現時，所有飲料都會提供小幅度的耐力恢復加成。
challengeCraftDewCollectorHint1,Challenges,Challenge,,,[FFB400]Craft a [-][00FF00]Rain Collector[-][FFB400].[-],,[FFB400]Fertige einen [-][00FF00]Regensammler[-][FFB400].[-],[FFB400]Fabrica un [-][00FF00]Colector de lluvia[-][FFB400].[-],[FFB400]Fabriquez un [-][00FF00]Collecteur de pluie[-][FFB400].[-],[FFB400]Crea un [-][00FF00]Collettore di pioggia[-][FFB400].[-],[00FF00]レインコレクター[-][FFB400]をクラフトする。[-],[00FF00]비 수집기[-][FFB400]를 제작하세요.[-],[FFB400]Wytwórz [-][00FF00]Zbieracz deszczu[-][FFB400].[-],[FFB400]Fabrique um [-][00FF00]Coletor de chuva[-][FFB400].[-],[FFB400]Изготовьте [-][00FF00]Сборщик дождя[-][FFB400].[-],[FFB400]Bir [-][00FF00]Yağmur Kollektörü[-][FFB400] üret.[-],[FFB400]制作一个[-][00FF00]雨水收集器[-][FFB400]。[-],[FFB400]製作[-][00FF00]雨水收集器[-][FFB400]。[-]
challengeCraftDewCollectorShort,Challenges,Challenge,,,Craft a Rain Collector to start producing water.,,"Fertige einen Regensammler, um mit der Produktion von Wasser zu beginnen.",Fabrica un Colector de lluvia para comenzar a producir agua.,Fabriquez un Collecteur de pluie pour commencer à produire de l'eau.,Crea un Collettore di pioggia per iniziare a produrre acqua.,水を確保するためにレインコレクターをクラフトする。,비 수집기를 제작하여 물을 생산하세요.,"Wytwórz Zbieracz deszczu, aby rozpoczęć wytwarzanie wody.",Fabrique um Coletor de chuva para produzir água.,"Изготовьте Сборщик дождя, чтобы начать производить воду.",Su üretmeye başlamak için bir Yağmur Kollektörü üret.,制作一个雨水收集器，开始制水。,製作雨水收集器，開始集水。
challengePlaceDewCollector,Challenges,Challenge,,,Place Rain Collector,,Regensammler platzieren,Colocar un Colector de lluvia,Placer un Collecteur de pluie,Posiziona Collettore di pioggia,レインコレクターを設置する,비 수집기 설치,Rozmieść Zbieracz deszczu,Colocar Coletor de chuva,Разместить Сборщик дождя,Yağmur Kollektörü Yerleştir,放置雨水收集器,放置雨水收集器
challengePlaceDewCollectorDesc,Challenges,Challenge,,,"A [DECEA3]Rain Collector[-] is a [DECEA3]Workstation[-] that allows you to passively obtain [DECEA3]Water[-] over time. Initially it will collect [DECEA3]Murky Water[-], but can be upgraded with [DECEA3]Workstation Modifications[-] to provide cleaner [DECEA3]Water[-] more efficiently.",,"Der [DECEA3]Regensammler[-] ist eine [DECEA3]Arbeitsstation[-], mit der du über Zeit passiv [DECEA3]Wasser[-] sammeln kannst. Anfänglich sammelt er [DECEA3]trübes Wasser[-], kann mit [DECEA3]Arbeitsstation-Modifikationen[-] aber aufgewertet werden, um effizienter sauberes [DECEA3]Wasser[-] aufzufangen.","Un [DECEA3]Colector de lluvia[-] es una [DECEA3]estación de trabajo[-] que te permite obtener [DECEA3]agua[-] de forma pasiva con el tiempo. Al principio, recolectará [DECEA3]agua turbia[-], pero se puede mejorar con [DECEA3]modificaciones de estación de trabajo[-] para suministrar [DECEA3]agua[-] limpia de forma más eficiente.","Un [DECEA3]Collecteur de pluie[-] est un [DECEA3]poste de travail[-] qui permet d'obtenir de l'[DECEA3]eau[-] de manière passive sur la durée. Au départ, il récolte de l'[DECEA3]eau trouble[-], mais il peut être amélioré avec des [DECEA3]modifications de poste de travail[-] et ainsi procurer de l'[DECEA3]eau[-] plus pure de manière plus efficace.","Il [DECEA3]Collettore di pioggia[-] è una [DECEA3]postazione di lavoro[-] che ti permette di ottenere [DECEA3]acqua[-] passivamente con il tempo. All'inizio, raccoglie [DECEA3]acqua torbida[-], ma è possibile migliorarlo con le [DECEA3]modifiche per le postazioni di lavoro[-] e ottenere [DECEA3]acqua[-] più pulita in modo più efficiente.",[DECEA3]レインコレクター[-]は[DECEA3]水[-]を入手するために役立つ[DECEA3]作業場[-]です。そのままだと、ゆっくりと[DECEA3]泥水[-]が溜りますが、[DECEA3]作業場用の道具[-]をセットすることで綺麗な[DECEA3]水[-]をより効率的に入手することができるようになります。,"[DECEA3]비 수집기[-]는 수동적으로 [-]물[DECEA3]을 수집할 수 있는 [DECEA3]작업장[-]입니다. 처음에는 [DECEA3]탁한 물[-]을 모으지만, [DECEA3]작업대 개조[-]로 더 깨끗한 [DECEA3]물[-]을 효율적으로 모을 수 있게 됩니다.","[DECEA3]Zbieracz deszczu[-] to [DECEA3]stacja robocza[-], która pozwala pasywnie zdobywać [DECEA3]wodę[-] wraz z upływem czasu. Jej podstawowa wersja zbiera [DECEA3]błotnistą wodę[-], ale można ją ulepszyć za pomocą [DECEA3]modyfikacji stacji roboczej[-], by dostarczała czystą [DECEA3]wodę[-] w większych ilościach.","O [DECEA3]Coletor de chuva[-] é uma [DECEA3]estação de trabalho[-] que permite que você obtenha [DECEA3]água[-] com o tempo. Inicialmente, ele coletará [DECEA3]água suja[-], mas pode ser melhorado com [DECEA3]modificações da estação de trabalho[-] para fornecer [DECEA3]água[-] mais limpa.","[DECEA3]Сборщик дождя[-] — это [DECEA3]рабочая станция[-], которая в течение определенного времени обеспечивает пассивный сбор [DECEA3]воды[-]. Сначала коллектор будет собирать [DECEA3]мутную воду[-], но после улучшения с помощью [DECEA3]модификаций рабочей станции[-] начнет эффективнее собирать более чистую [DECEA3]воду[-].",Bir [DECEA3]Yağmur Kollektörü[-] zaman içinde pasif olarak [DECEA3]Su[-] edinmeni sağlayan bir [DECEA3]Çalışma İstasyonudur[-]. Başta [DECEA3]Bulanık Su[-] toplar ama [DECEA3]Çalışma İstasyonu Modifikasyonları[-] ile daha verimli bir şekilde daha temiz [DECEA3]Su[-] sağlayabilir.,[DECEA3]雨水收集器[-]是一种[DECEA3]工作站[-]，让你可以随着时间的推移被动地获得[DECEA3]水[-]。在初始状态下，它收集的是[DECEA3]浑浊的水[-]，但可用[DECEA3]工作站模组[-]来进行升级，使其更高效地提供更干净的[DECEA3]水[-]。,[DECEA3]雨水收集器[-]是一種能夠隨著時間被動取得[DECEA3]水[-]的[DECEA3]工作站[-]。一開始它收集的會是[DECEA3]髒水[-]，但只要透過[DECEA3]工作站改裝[-]為它升級，就能更有效率地提供純淨[DECEA3]水[-]。
challengePlaceDewCollectorShort,Challenges,Challenge,,,Place a Rain Collector to collect water.,,"Fertige einen Regensammler, um Wasser zu sammeln.",Coloca un Colector de lluvia para recolectar agua.,Placez un Collecteur de pluie pour récolter de l'eau.,Posiziona un Collettore di pioggia per iniziare a raccogliere acqua.,水を集めるためにレインコレクターを設置する。,비 수집기를 설치하여 물을 모으세요.,"Rozmieść Zbieracz deszczu, aby zebrać wodę.",Coloque a Coletor de chuva para coletar água.,"Разместите Сборщик дождя, чтобы собрать воду.",Su toplamak için bir Yağmur Kollektörü yerleştir.,放置一个雨水收集器来收集水。,放置雨水收集器以收集水分。
