Key,File,Type,UsedInMainMenu,NoTranslate,english

buffCloudsHealingName,buffs,buff,,,Healing Bedroll
buffCloudsHealing1Name,buffs,buff,,,Healing Hospital Gurney
buffCloudsHealing2Name,buffs,buff,,,Healing Hospital Bed

buffCloudsHealingDesc,buffs,buff,,,"Healing Bedroll.\nRefilling Health\nRefreshing Stamina."
buffCloudsHealing1Desc,buffs,buff,,,"Healing Hospital Gurney.\nHealing Wounds\nRefilling Health\nRefreshing Stamina.\nRemoving Hunger.\nRestoring Hydration."
buffCloudsHealing2Desc,buffs,buff,,,"Healing Hospital Bed.\nHealing Wounds\nRefilling Health\nRefreshing Stamina.\nRemoving Hunger.\nRestoring Hydration.\nCuring Infection.\nTreating Near Death Trauma."

ToolTipCloudsHealing,buffs,buff,,,Healing Bedroll
ToolTipCloudsHealing1,buffs,buff,,,Healing Hospital Gurney
ToolTipCloudsHealing2,buffs,buff,,,Healing Hospital Bed

DisplayValueCloudsHealing,buffs,buff,,,First Aid
DisplayValueCloudsHealing1,buffs,buff,,,First Aid+
DisplayValueCloudsHealing2,buffs,buff,,,First Aid++

bedrollDesc,blocks,block,,,"Refills Health.\nRefreshes Stamina."

HealinggurneyBed,blocks,block,,,Healing Hospital Gurney
HealinggurneyBedDesc,blocks,block,,,"Heals Wounds.\nRefills Health.\nRefreshes Stamina.\nRemoves Hunger.\nRestores Hydration."

HealinghospitalBed,blocks,block,,,Healing Hospital Bed
HealinghospitalBedDesc,blocks,block,,,"Heals Wounds.\nRefills Health.\nRefreshes Stamina\nRemoves Hunger.\nRestores Hydration.\nCures Infection.\nTreats Near Death Trauma."

HealinggurneyBedSchematic,items,item,,,Healing Hospital Gurney Schematic

HealinghospitalBedSchematic,items,item,,,Healing Hospital Bed Schematic



